RL.R,I(AM1.nA),V(un3),
19300,0.000414221605801009,3.997238495979737,
19400,0.00041208790934254625,3.9972527206226984,
19500,0.0004099760819970845,3.9972667994715745,
19600,0.00040788578926085614,3.99728073475639,
19700,0.0004058167034174538,3.9972945286619206,
19800,0.00040376850336654906,3.9973081833288355,
19900,0.00040174087445776926,3.997321700854804,
20000,0.000399733508329557,3.9973350832955696,
20100,0.0003977461027528351,3.9973483326659927,
20200,0.00039577836147931307,3.997361450941062,
20300,0.0003938299940942735,3.9973744400568756,
20400,0.0003919007158736857,3.9973873019115937,
20500,0.0003899902476454989,3.9974000383663633,
20600,0.00038809831565497245,3.9974126512462163,
20700,0.00038622465143390726,3.99742514234094,
20800,0.00038436899167364674,3.997437513405926,
20900,0.00038253107810172157,3.9974497661629904,
21000,0.00038071065736201663,3.997461902301174,
21100,0.000378907480898343,3.9974739234775187,
21200,0.0003771213048413037,3.9974858313178196,
21300,0.0003753518898983437,3.9974976274173604,
21400,0.0003735990012468809,3.997509313341626,
21500,0.0003718624084304178,3.9975208906269915,
21600,0.00037014188525753714,3.9975323607814013,
21700,0.0003684372097036883,3.9975437252850177,
21800,0.00036674816381567545,3.9975549855908628,
21900,0.0003650745336187611,3.9975661431254346,
22000,0.00036341610902630093,3.9975771992893105,
22100,0.0003617726837518311,3.9975881554577337,
22200,0.00036014405522353,3.9975990129811834,
22300,0.00035853002450098015,3.997609773185929,
22400,0.00035693039619415803,3.99762043737457,
22500,0.0003553449783845834,3.997631006826563,
22600,0.0003537735825485605,3.997641482798733,
22700,0.00035221602348244687,3.9976518665257714,
22800,0.0003506721192298877,3.99766215922072,
22900,0.0003491416910109559,3.997672362075445,
23000,0.0003476245631531388,3.997682476261096,
23100,0.0003461205630241174,3.9976925029285564,
23200,0.00034462952096628237,3.9977024432088757,
23300,0.00034315127023293556,3.997712298213699,
23400,0.00034168564692612643,3.997722069035679,
23500,0.00034023248993607505,3.9977317567488817,
23600,0.0003387916408821337,3.997741362409177,
23700,0.0003373629440552427,3.997750887054626,
23800,0.00033594624636183637,3.9977603317058525,
23900,0.0003345413972691555,3.997769697366408,
24000,0.0003331482487519273,3.997778985023128,
24100,0.0003317666552403715,3.9977881956464767,
