RL.R,I(AM1.nA),V(un3),
19800,0.00037854865945541143,3.747631728608573,
19900,0.0003767658556470792,3.748820263688438,
20000,0.0003749997656251465,3.7499976562514648,
20100,0.00037325015544858087,3.751164062258238,
20200,0.0003715167955220041,3.752319634772241,
20300,0.0003697994604952528,3.7534645240268154,
20400,0.000368097929165713,3.754598877490273,
20500,0.00036641198438333805,3.7557228399292146,
20600,0.00036474141295826423,3.7568365534701216,
20700,0.00036308600557094354,3.7579401576592657,
20800,0.00036144555668471146,3.7590337895209993,
20900,0.00035981986446071465,3.760117583614468,
21000,0.0003582087306751241,3.7611916720888026,
21100,0.00035661196063856257,3.762256184736835,
21200,0.00035502936311767756,3.763311249047382,
21300,0.0003534607502587929,3.7643569902561445,
21400,0.00035190593751357584,3.765393531395262,
21500,0.0003503647435666573,3.766420993341566,
21600,0.00034883699026514565,3.7674394948635728,
21700,0.0003473225025499767,3.7684491526672472,
21800,0.0003458211083890443,3.7694500814405827,
21900,0.0003443326387120577,3.7704423938970324,
22000,0.00034285692734707424,3.7714262008178165,
22100,0.00034139381095865657,3.772401611093155,
22200,0.00033994312898760726,3.7733687317624405,
22300,0.0003385047235922331,3.7743276680533993,
22400,0.0003370784395910942,3.775278523420255,
22500,0.00033566412440719446,3.7762213995809373,
22600,0.00033426162801357124,3.777156396553355,
22700,0.00033287080288024344,3.7780836126907626,
22800,0.0003314915039224782,3.7790031447162513,
22900,0.000330123588450339,3.779915087756382,
23000,0.0003287669161194775,3.7808195353739915,
23100,0.0003274213488831334,3.7817165796001913,
23200,0.00032608675094530915,3.7826063109655865,
23300,0.0003247629887150843,3.7834888185307314,
23400,0.00032344993076203826,3.784364189915848,
23500,0.00032214744777275106,3.785232511329825,
23600,0.00032085541250834935,3.786093867598522,
23700,0.00031957369976307097,3.786948342192391,
23800,0.0003183021863238187,3.787796017253443,
23900,0.0003170407509306751,3.7886369736215673,
24000,0.0003157892742383531,3.7894712908602375,
24100,0.00031454763877855586,3.790299047281598,
24200,0.00031331572892322093,3.7911203199709727,
24300,0.000312093430848625,3.7919351848107934,
24400,0.0003108806325003256,3.792743716503972,
24500,0.0003096772235589167,3.7935459885967298,
24600,0.0003084830954065772,3.7943420735008995,
24700,0.0003072981410943896,3.795132042515712,
24800,0.0003061222553104099,3.795915965849083,
24900,0.000304955334348467,3.7966939126384136,
25000,0.0003037972760776734,3.797465950970917,
25100,0.0003026479799126281,3.7982321479034824,
25200,0.00030150734678429297,3.798992569482092,
25300,0.00030037527911152537,3.799747280760796,
25400,0.00029925168077324957,3.8004963458202696,
