P1.K,I(i_C.nA),V(Q1.nC),
0.164,0.0016033420765631508,10.716845631547123,
0.165,0.0016030443162906665,10.701108557172956,
0.166,0.0016027466227915726,10.685375011872017,
0.167,0.0016024489960303036,10.669644993764642,
0.168,0.0016021514359713111,10.653918500972043,
0.169,0.0016018539425790635,10.63819553161631,
0.17,0.0016015565158180453,10.622476083820404,
0.171,0.001601259155652758,10.606760155708166,
0.172,0.0016009618620477192,10.591047745404309,
0.173,0.0016006646349674633,10.575338851034417,
0.174,0.0016003674743765412,10.559633470724952,
0.175,0.00160007038023952,10.543931602603239,
0.176,0.0015997733525209836,10.528233244797484,
0.177,0.0015994763911855324,10.512538395436755,
0.178,0.001599179496197783,10.496847052650995,
0.179,0.0015988826675223686,10.481159214571015,
0.18,0.0015985859051239387,10.46547487932849,
0.181,0.0015982892089671592,10.449794045055965,
0.182,0.001597992579016713,10.434116709886853,
0.183,0.0015976960152372982,10.41844287195543,
0.184,0.0015973995175936305,10.40277252939684,
0.185,0.001597103086050441,10.387105680347087,
0.186,0.0015968067205724774,10.371442322943043,
0.187,0.0015965104211245046,10.35578245532244,
0.188,0.0015962141876713022,10.340126075623875,
0.189,0.0015959180201776675,10.324473181986802,
0.19,0.0015956219186084135,10.308823772551538,
0.191,0.0015953258829283692,10.293177845459262,
0.192,0.0015950299131023804,10.27753539885201,
0.193,0.001594734009095309,10.261896430872671,
0.194,0.0015944381708720328,10.246260939665003,
0.195,0.001594142398397446,10.230628923373612,
0.196,0.0015938466916364594,10.215000380143962,
0.197,0.0015935510505539995,10.199375308122377,
0.198,0.001593255475115009,10.18375370545603,
0.199,0.001592959965284447,10.168135570292954,
0.2,0.0015926645210272885,10.152520900782022,
0.201,0.0015923691423085247,10.136909695072976,
0.202,0.001592073829093163,10.121301951316402,
0.203,0.001591778581346227,10.105697667663739,
0.204,0.0015914833990327564,10.090096842267268,
0.205,0.0015911882821178062,10.074499473280135,
0.206,0.0015908932305664484,10.05890555885632,
0.207,0.001590598244343771,10.043315097150662,
0.208,0.0015903033234148777,10.027728086318842,
0.209,0.0015900084677448877,10.012144524517385,
0.21,0.0015897136772989374,9.996564409903671,
0.211,0.0015894189520421786,9.980987740635916,
0.212,0.0015891242919397783,9.965414514873183,
0.213,0.0015888296969569214,9.949844730775382,
0.214,0.0015885351670588065,9.934278386503264,
0.215,0.0015882407022106497,9.918715480218424,
0.216,0.001587946302377683,9.903156010083293,
0.217,0.001587651967525153,9.887599974261148,
0.218,0.0015873576976183233,9.872047370916105,
0.219,0.0015870634926224733,9.856498198213119,
0.22,0.0015867693525028978,9.840952454317984,
0.221,0.0015864752772249081,9.825410137397332,
0.222,0.001586181266753831,9.809871245618632,
0.223,0.0015858873210550088,9.794335777150188,
