RL.R,I(AM1.nA),V(un3),
23500,0.0000510090547448304,0.5993563932517572,
23600,0.00005097654925804483,0.6015232812449289,
23700,0.00005094408517307638,0.6036874093009551,
23800,0.00005091166241087596,0.6058487826894239,
23900,0.000050879280892595586,0.6080074066665172,
24000,0.00005084694053958774,0.6101632864750529,
24100,0.00005081464127340475,0.6123164273445273,
24200,0.00005078238301579815,0.6144668344911576,
24300,0.00005075016568871803,0.616614513117924,
24400,0.00005071798921431242,0.6187594684146115,
24500,0.00005068585351492668,0.6209017055578517,
24600,0.00005065375851310282,0.6230412297111647,
24700,0.00005062170413157898,0.6251780460250004,
24800,0.000050589690293288675,0.6273121596367796,
24900,0.0000505577169213603,0.6294435756709358,
25000,0.00005052578393911644,0.6315722992389554,
25100,0.000050493891270073274,0.6336983354394196,
25200,0.00005046203883793999,0.6358216893580438,
25300,0.000050430226566618145,0.6379423660677196,
25400,0.000050398454380201075,0.6400603706285537,
25500,0.00005036672220297328,0.6421757080879094,
25600,0.000050335029959409836,0.6442883834804459,
25700,0.0000503033775741758,0.6463984018281589,
25800,0.00005027176497212557,0.6485057681404198,
25900,0.00005024019207830236,0.6506104874140155,
26000,0.00005020865881793755,0.6527125646331882,
26100,0.000050177165116450126,0.6548120047696742,
26200,0.00005014571089944607,0.6569088127827435,
26300,0.0000501142960927178,0.6590029936192391,
26400,0.000050082920622243565,0.6610945522136151,
26500,0.000050051584414186877,0.6631834934879761,
26600,0.00005002028739489592,0.6652698223521157,
26700,0.000049989029490902984,0.6673535437035548,
26800,0.00004995781062892388,0.66943466242758,
26900,0.000049926630735857385,0.6715131833972818,
27000,0.000049895489738784644,0.6735891114735927,
27100,0.00004986438756496863,0.6756624515053249,
27200,0.00004983332414185355,0.6777332083292084,
27300,0.00004980229939706432,0.679801386769928,
27400,0.000049771313258405945,0.6818669916401614,
27500,0.00004974036565386302,0.6839300277406165,
27600,0.00004970945651159913,0.685990499860068,
27700,0.00004967858575995631,0.6880484127753949,
27800,0.000049647753327454495,0.6901037712516175,
27900,0.000049616959142790955,0.6921565800419338,
28000,0.00004958620313483977,0.6942068438877567,
28100,0.00004955548523265124,0.6962545675187499,
28200,0.00004952480536545139,0.6982997556528645,
28300,0.000049494163462641376,0.7003424129963755,
