V1.V,V(V_D),I(D1.nA),
-2.61,-2.60999748,-2.52e-9,
-2.6,-2.5999974800000003,-2.52e-9,
-2.59,-2.58999748,-2.52e-9,
-2.58,-2.5799974800000003,-2.52e-9,
-2.57,-2.56999748,-2.52e-9,
-2.56,-2.5599974800000003,-2.52e-9,
-2.55,-2.54999748,-2.52e-9,
-2.54,-2.5399974800000003,-2.52e-9,
-2.53,-2.52999748,-2.52e-9,
-2.52,-2.5199974800000002,-2.52e-9,
-2.51,-2.50999748,-2.52e-9,
-2.5,-2.49999748,-2.52e-9,
-2.49,-2.4899974800000004,-2.52e-9,
-2.48,-2.47999748,-2.52e-9,
-2.47,-2.4699974800000004,-2.52e-9,
-2.46,-2.45999748,-2.52e-9,
-2.45,-2.4499974800000004,-2.52e-9,
-2.44,-2.43999748,-2.52e-9,
-2.43,-2.4299974800000004,-2.52e-9,
-2.42,-2.41999748,-2.52e-9,
-2.41,-2.4099974800000004,-2.52e-9,
-2.4,-2.39999748,-2.52e-9,
-2.39,-2.3899974800000003,-2.52e-9,
-2.38,-2.37999748,-2.52e-9,
-2.37,-2.3699974800000003,-2.52e-9,
-2.36,-2.35999748,-2.52e-9,
-2.35,-2.3499974800000003,-2.52e-9,
-2.34,-2.33999748,-2.52e-9,
-2.33,-2.3299974800000003,-2.52e-9,
-2.32,-2.31999748,-2.52e-9,
-2.31,-2.3099974800000003,-2.52e-9,
-2.3,-2.29999748,-2.52e-9,
-2.29,-2.2899974800000003,-2.52e-9,
-2.28,-2.27999748,-2.52e-9,
-2.27,-2.2699974800000002,-2.52e-9,
-2.26,-2.25999748,-2.52e-9,
-2.25,-2.24999748,-2.52e-9,
-2.24,-2.2399974800000004,-2.52e-9,
-2.23,-2.22999748,-2.52e-9,
-2.22,-2.2199974800000004,-2.52e-9,
-2.21,-2.20999748,-2.52e-9,
-2.2,-2.1999974800000004,-2.52e-9,
-2.19,-2.18999748,-2.52e-9,
-2.18,-2.1799974800000004,-2.52e-9,
-2.17,-2.16999748,-2.52e-9,
-2.16,-2.1599974800000004,-2.52e-9,
-2.15,-2.14999748,-2.52e-9,
-2.14,-2.1399974800000003,-2.52e-9,
-2.13,-2.12999748,-2.52e-9,
-2.12,-2.1199974800000003,-2.52e-9,
-2.11,-2.10999748,-2.52e-9,
-2.1,-2.0999974800000003,-2.52e-9,
-2.09,-2.08999748,-2.52e-9,
-2.08,-2.0799974800000003,-2.52e-9,
-2.07,-2.06999748,-2.52e-9,
-2.06,-2.0599974800000003,-2.52e-9,
-2.05,-2.04999748,-2.52e-9,
-2.04,-2.0399974800000003,-2.52e-9,
-2.03,-2.02999748,-2.52e-9,
-2.02,-2.0199974800000002,-2.52e-9,
-2.01,-2.00999748,-2.52e-9,
-2,-1.99999748,-2.52e-9,
-1.99,-1.98999748,-2.52e-9,
-1.98,-1.97999748,-2.52e-9,
-1.97,-1.96999748,-2.52e-9,
-1.96,-1.95999748,-2.52e-9,
-1.95,-1.94999748,-2.52e-9,
-1.94,-1.93999748,-2.52e-9,
-1.93,-1.92999748,-2.52e-9,
-1.92,-1.91999748,-2.52e-9,
-1.91,-1.90999748,-2.52e-9,
-1.9,-1.89999748,-2.52e-9,
-1.89,-1.88999748,-2.52e-9,
-1.88,-1.8799974799999999,-2.52e-9,
-1.87,-1.86999748,-2.52e-9,
-1.86,-1.85999748,-2.52e-9,
-1.85,-1.84999748,-2.52e-9,
-1.84,-1.83999748,-2.52e-9,
-1.83,-1.82999748,-2.52e-9,
-1.82,-1.81999748,-2.52e-9,
-1.81,-1.80999748,-2.52e-9,
-1.8,-1.79999748,-2.52e-9,
-1.79,-1.78999748,-2.52e-9,
